agg,block_len,filename,channel,sample_count,eff_digital_min,eff_digital_max,embed_mse,embed_psnr,embed_ber
,,seeg3.edf,0,24000,436,605,0.020833333333333332,113.14201098622986,
,,seeg3.edf,1,24000,-1098,-897,0.020166666666666666,113.28325741314592,
,,seeg3.edf,2,24000,354,469,0.022458333333333334,112.81582337772265,
,,seeg3.edf,3,24000,273,408,0.022541666666666668,112.79973837852435,
mean,,,,24000.0,-8.75,146.25,0.0215,113.0102075389057,
worst,,,,,,,0.022541666666666668,112.79973837852435,
,,seeg3.edf,0,24000,436,605,,,
,,seeg3.edf,1,24000,-1098,-897,,,
,,seeg3.edf,2,24000,354,469,,,
,,seeg3.edf,3,24000,273,408,,,
mean,,,,24000.0,-8.75,146.25,,,
worst,,,,,,,,,
