agg,noise_var,redundancy,algo,extract_ber,restore_psnr
,1.0,9,lsb,0.501953125,95.23789254515043
mean,,,,0.501953125,95.23789254515043
worst,,,,0.501953125,95.23789254515043
,0.3,1,lsb,,
mean,,,,,
worst,,,,,
,0.3,1,lsb,0.0908203125,105.51822669311022
mean,,,,0.0908203125,105.51822669311022
worst,,,,0.0908203125,105.51822669311022
,0.3,1,de,,
mean,,,,,
worst,,,,,
,0.3,1,de,0.4970703125,88.77707686538136
mean,,,,0.4970703125,88.77707686538136
worst,,,,0.4970703125,88.77707686538136
,0.3,3,lsb,,
mean,,,,,
worst,,,,,
,0.3,3,lsb,0.0234375,104.37290787278359
mean,,,,0.0234375,104.37290787278359
worst,,,,0.0234375,104.37290787278359
,0.3,3,de,,
mean,,,,,
worst,,,,,
,0.3,3,de,0.4892578125,85.68779634740652
mean,,,,0.4892578125,85.68779634740652
worst,,,,0.4892578125,85.68779634740652
,0.3,5,lsb,,
mean,,,,,
worst,,,,,
,0.3,5,lsb,0.0107421875,103.23773440137721
mean,,,,0.0107421875,103.23773440137721
worst,,,,0.0107421875,103.23773440137721
,0.3,5,de,,
mean,,,,,
worst,,,,,
,0.3,5,de,0.529296875,84.00483649127919
mean,,,,0.529296875,84.00483649127919
worst,,,,0.529296875,84.00483649127919
,0.3,9,lsb,,
mean,,,,,
worst,,,,,
,0.3,9,lsb,0.0,101.71248791279554
mean,,,,0.0,101.71248791279554
worst,,,,0.0,101.71248791279554
,0.3,9,de,,
mean,,,,,
worst,,,,,
,0.3,9,de,0.5166015625,82.32607544370018
mean,,,,0.5166015625,82.32607544370018
worst,,,,0.5166015625,82.32607544370018
,1.0,1,lsb,,
mean,,,,,
worst,,,,,
,1.0,1,lsb,0.5322265625,95.87245802306529
mean,,,,0.5322265625,95.87245802306529
worst,,,,0.5322265625,95.87245802306529
,1.0,1,de,,
mean,,,,,
worst,,,,,
,1.0,1,de,0.5126953125,84.1969009033935
mean,,,,0.5126953125,84.1969009033935
worst,,,,0.5126953125,84.1969009033935
,1.0,3,lsb,,
mean,,,,,
worst,,,,,
,1.0,3,lsb,0.513671875,95.78474484034338
mean,,,,0.513671875,95.78474484034338
worst,,,,0.513671875,95.78474484034338
,1.0,3,de,,
mean,,,,,
worst,,,,,
,1.0,3,de,0.5166015625,79.68031662149554
mean,,,,0.5166015625,79.68031662149554
worst,,,,0.5166015625,79.68031662149554
,1.0,5,lsb,,
mean,,,,,
worst,,,,,
,1.0,5,lsb,0.5107421875,95.60648678869525
mean,,,,0.5107421875,95.60648678869525
worst,,,,0.5107421875,95.60648678869525
,1.0,5,de,,
mean,,,,,
worst,,,,,
,1.0,5,de,0.505859375,78.28073668903792
mean,,,,0.505859375,78.28073668903792
worst,,,,0.505859375,78.28073668903792
,1.0,9,lsb,,
mean,,,,,
worst,,,,,
,1.0,9,lsb,0.48828125,95.24479404642064
mean,,,,0.48828125,95.24479404642064
worst,,,,0.48828125,95.24479404642064
