agg,filename,III_psnr,III_ber,aVR_psnr,aVR_ber,aVL_psnr,aVL_ber,aVF_psnr,aVF_ber
,JS00001.hea,65.56660017149265,0.007546875,52.41453403614857,0.03131875,53.06037216403831,0.02258125,54.21245819174624,0.0247875
,JS00002.hea,68.11323881033417,0.007396875,52.195364782051556,0.041925,55.105267953478,0.02713125,56.74655008852138,0.026184375
,JS00004.hea,64.45948655591133,0.008771875,55.18925955643269,0.026425,54.27362759193292,0.0266875,54.279075946294604,0.03654375
,JS00005.hea,62.871022433828756,0.008084375,54.30789634481286,0.0415625,53.32924755132419,0.02634375,54.3451168311929,0.02508125
,JS00006.hea,58.73474148025055,0.007721875,54.073702220644826,0.030115625,53.28610299521853,0.0238375,50.75208293244809,0.030009375
,JS00007.hea,61.570928241873716,0.007765625,51.757027700794886,0.041778125,50.53158874739847,0.02798125,51.850953863656954,0.024903125
,JS00008.hea,62.7956540975397,0.007271875,51.45116736898585,0.03095625,53.2174385689448,0.0280625,48.42638511363819,0.0249
,JS00009.hea,65.65062290765118,0.0093875,52.176252649643935,0.038240625,53.80960734909842,0.0334875,56.77962654039877,0.021784375
,JS00010.hea,66.99341424635,0.00729375,55.048755565717585,0.03423125,56.14239719689719,0.0234125,55.84746541029928,0.02241875
,JS00011.hea,66.58848839530732,0.007734375,54.44480132577468,0.02541875,47.67151351911649,0.028775,58.10654214811359,0.024334375
,JS00012.hea,64.08977726811075,0.0079125,54.90374346633662,0.03466875,52.000894001852735,0.02485625,54.283988568470534,0.02625
,JS00013.hea,64.48837135476052,0.00715625,52.492747755816744,0.03201875,54.767936730102534,0.031675,48.78923161083948,0.035340625
,JS00014.hea,62.858224917671855,0.007615625,56.8494296243097,0.028025,48.178779081238616,0.029646875,57.127586927720095,0.022859375
,JS00015.hea,61.3794867033655,0.00728125,53.65542788672792,0.030534375,51.679877912241885,0.0292125,51.076604380073924,0.0294875
,JS00016.hea,59.58899867551998,0.00683125,49.67112033917866,0.033484375,51.38069172035286,0.025446875,40.670993025793585,0.0312375
,JS00017.hea,62.74573464196471,0.0075625,51.26477648858521,0.03644375,50.44785477318924,0.02700625,53.51218935019142,0.028765625
,JS00018.hea,61.512437181527375,0.007040625,54.62595481624241,0.03416875,53.620271203579186,0.027003125,50.72112300657162,0.025803125
,JS00019.hea,63.44119651386371,0.007309375,53.627061924412786,0.045775,53.58810606948207,0.02785,52.590799216697384,0.026240625
,JS00020.hea,65.72423182458108,0.007771875,56.03713427636553,0.031340625,58.004647331104664,0.02659375,49.587610596499694,0.024909375
mean,,63.64066612746867,0.007655592105263159,53.483482006788584,0.03412796052631578,52.847169603189,0.027241611842105263,52.61612546048251,0.026938980263157893
worst,,58.73474148025055,0.0093875,49.67112033917866,0.045775,47.67151351911649,0.0334875,40.670993025793585,0.03654375
,JS00020.hea,65.72423182458108,0.007771875,56.03713427636553,0.031340625,58.004647331104664,0.02659375,49.587610596499694,0.024909375
mean,,65.72423182458108,0.007771875,56.03713427636553,0.031340625,58.004647331104664,0.02659375,49.587610596499694,0.024909375
worst,,65.72423182458108,0.007771875,56.03713427636553,0.031340625,58.004647331104664,0.02659375,49.587610596499694,0.024909375
,JS00020,65.72423182458108,0.007771875,56.03713427636553,0.031340625,58.004647331104664,0.02659375,49.587610596499694,0.024909375
mean,,65.72423182458108,0.007771875,56.03713427636553,0.031340625,58.004647331104664,0.02659375,49.587610596499694,0.024909375
worst,,65.72423182458108,0.007771875,56.03713427636553,0.031340625,58.004647331104664,0.02659375,49.587610596499694,0.024909375
