agg,filename,channel,sample_count,wm_len,predictor,rle_bitness,huff_sym_size,coder,lsb_lowest_bit,rle_used_bitness,huff_used_bitness,embed_psnr,predict_psnr,comp_saving,bps,error
,JS00001.hea,1,5000,2881,,,,rle,10,7,,16.560257071601193,,0.589,0.5762,
,JS00001.hea,1,5000,,,,,rle,4,2,,,,-0.2732000000000001,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.2732000000000001)')
,JS00001.hea,1,5000,,,,,rle,5,2,,,,-0.23239999999999994,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.23239999999999994)')
,JS00001.hea,1,5000,,,,,rle,6,3,,,,-0.023800000000000043,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.023800000000000043)')
,JS00001.hea,1,5000,1048,,,,rle,7,4,,35.044157053377035,,0.22240000000000004,0.2096,
,JS00001.hea,1,5000,2418,,,,rle,8,6,,28.77735863546476,,0.49639999999999995,0.4836,
,JS00001.hea,1,5000,2881,,,,rle,9,7,,22.580856984880818,,0.589,0.5762,
,JS00001.hea,1,5000,2885,,,0,huff,10,,7,17.305742743685023,,0.5898,0.577,
,JS00001.hea,1,5000,,,,0,huff,4,,4,,,-0.035800000000000054,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.035800000000000054)')
,JS00001.hea,1,5000,,,,0,huff,5,,4,,,-0.0009999999999998899,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.0009999999999998899)')
,JS00001.hea,1,5000,523,,,0,huff,6,,4,41.13701501857988,,0.11739999999999995,0.1046,
,JS00001.hea,1,5000,1413,,,0,huff,7,,4,35.30692568507884,,0.2954,0.2826,
,JS00001.hea,1,5000,2475,,,0,huff,8,,6,29.51347149408456,,0.5078,0.495,
,JS00001.hea,1,5000,2885,,,0,huff,9,,7,23.32634265696465,,0.5898,0.577,
,JS00001.hea,1,5000,,,,3,huff,4,,3,,,-0.04820000000000002,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.04820000000000002)')
,JS00001.hea,1,5000,,,,4,huff,5,,4,,,-0.0009999999999998899,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.0009999999999998899)')
,JS00001.hea,1,5000,466,,,5,huff,6,,5,41.31515000938853,,0.10599999999999998,0.0932,
,JS00001.hea,1,5000,1258,,,6,huff,7,,6,35.38553316715926,,0.26439999999999997,0.2516,
,JS00001.hea,1,5000,2452,,,7,huff,8,,7,29.364933253879638,,0.5032,0.4904,
,JS00001.hea,1,5000,2832,,,8,huff,10,,8,17.166177086922655,,0.5791999999999999,0.5664,
,JS00001.hea,1,5000,2832,,,8,huff,9,,8,23.18677700020228,,0.5791999999999999,0.5664,
,JS00001.hea,1,5000,,,2,,rle,4,2,,,,-0.2732000000000001,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.2732000000000001)')
,JS00001.hea,1,5000,,,3,,rle,5,3,,,,-0.24219999999999997,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.24219999999999997)')
,JS00001.hea,1,5000,,,4,,rle,6,4,,,,-0.054400000000000004,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.054400000000000004)')
,JS00001.hea,1,5000,937,,5,,rle,7,5,,35.05249764518397,,0.20020000000000004,0.1874,
,JS00001.hea,1,5000,2418,,6,,rle,8,6,,28.77735863546476,,0.49639999999999995,0.4836,
,JS00001.hea,1,5000,2881,,7,,rle,9,7,,22.580856984880818,,0.589,0.5762,
,JS00001.hea,1,5000,2764,,8,,rle,10,8,,16.310509330134025,,0.5656,0.5528,
,JS00001.hea,1,5000,,neighchan,,,null,,,,,80.48094392065124,0.0,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving 0.0)')
,JS00001.hea,10,5000,3952,,,,rle,10,7,,17.248668314783043,,0.8032,0.7904,
,JS00001.hea,10,5000,,,,,rle,4,2,,,,-0.2607999999999999,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.2607999999999999)')
,JS00001.hea,10,5000,,,,,rle,5,3,,,,-0.10299999999999998,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.10299999999999998)')
,JS00001.hea,10,5000,388,,,,rle,6,4,,40.974902969477036,,0.09040000000000004,0.0776,
,JS00001.hea,10,5000,957,,,,rle,7,5,,35.15043756538561,,0.20420000000000005,0.1914,
,JS00001.hea,10,5000,2424,,,,rle,8,6,,29.043601536382457,,0.49760000000000004,0.4848,
,JS00001.hea,10,5000,3406,,,,rle,9,7,,23.246294305659564,,0.694,0.6812,
,JS00001.hea,10,5000,3334,,,0,huff,10,,8,17.083517434127454,,0.6796,0.6668,
,JS00001.hea,10,5000,,,,0,huff,4,,4,,,-0.02839999999999998,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.02839999999999998)')
,JS00001.hea,10,5000,234,,,0,huff,5,,4,46.966047329218355,,0.059599999999999986,0.0468,
,JS00001.hea,10,5000,901,,,0,huff,6,,4,41.33638694568708,,0.19299999999999995,0.1802,
,JS00001.hea,10,5000,1409,,,0,huff,7,,5,35.247143314443335,,0.2946,0.2818,
,JS00001.hea,10,5000,2240,,,0,huff,8,,6,29.22654340116371,,0.4608,0.448,
,JS00001.hea,10,5000,2959,,,0,huff,9,,8,23.16250498993186,,0.6046,0.5918,
,JS00001.hea,10,5000,,,,3,huff,4,,3,,,-0.04540000000000011,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.04540000000000011)')
,JS00001.hea,10,5000,234,,,4,huff,5,,4,46.966047329218355,,0.059599999999999986,0.0468,
,JS00001.hea,10,5000,864,,,5,huff,6,,5,41.210495672606875,,0.1856,0.1728,
,JS00001.hea,10,5000,1398,,,6,huff,7,,6,35.30692568507884,,0.2924,0.2796,
,JS00001.hea,10,5000,2194,,,7,huff,8,,7,29.23178533881764,,0.4516,0.4388,
,JS00001.hea,10,5000,3334,,,8,huff,10,,8,17.083517434127454,,0.6796,0.6668,
,JS00001.hea,10,5000,2959,,,8,huff,9,,8,23.16250498993186,,0.6046,0.5918,
,JS00001.hea,10,5000,,,2,,rle,4,2,,,,-0.2607999999999999,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.2607999999999999)')
,JS00001.hea,10,5000,,,3,,rle,5,3,,,,-0.10299999999999998,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.10299999999999998)')
,JS00001.hea,10,5000,388,,4,,rle,6,4,,40.974902969477036,,0.09040000000000004,0.0776,
,JS00001.hea,10,5000,957,,5,,rle,7,5,,35.15043756538561,,0.20420000000000005,0.1914,
,JS00001.hea,10,5000,2424,,6,,rle,8,6,,29.043601536382457,,0.49760000000000004,0.4848,
,JS00001.hea,10,5000,3406,,7,,rle,9,7,,23.246294305659564,,0.694,0.6812,
,JS00001.hea,10,5000,3908,,8,,rle,10,8,,17.19758461904166,,0.7944,0.7816,
,JS00001.hea,10,5000,,neighchan,,,null,,,,,33.96643872119074,0.0,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving 0.0)')
,JS00001.hea,11,5000,3924,,,,rle,10,7,,17.257536900301155,,0.7976,0.7848,
,JS00001.hea,11,5000,,,,,rle,4,2,,,,-0.2592000000000001,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.2592000000000001)')
,JS00001.hea,11,5000,,,,,rle,5,3,,,,-0.09580000000000011,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.09580000000000011)')
,JS00001.hea,11,5000,332,,,,rle,6,4,,40.93165480468245,,0.07920000000000005,0.0664,
,JS00001.hea,11,5000,1037,,,,rle,7,5,,35.114720958674894,,0.22019999999999995,0.2074,
,JS00001.hea,11,5000,2424,,,,rle,8,6,,29.041927632018304,,0.49760000000000004,0.4848,
,JS00001.hea,11,5000,3378,,,,rle,9,7,,23.109237738826355,,0.6884,0.6756,
,JS00001.hea,11,5000,3330,,,0,huff,10,,8,17.131544169585386,,0.6788000000000001,0.666,
,JS00001.hea,11,5000,,,,0,huff,4,,4,,,-0.028000000000000025,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.028000000000000025)')
,JS00001.hea,11,5000,243,,,0,huff,5,,4,47.0059468432665,,0.06140000000000001,0.0486,
,JS00001.hea,11,5000,901,,,0,huff,6,,4,41.21912118650285,,0.19299999999999995,0.1802,
,JS00001.hea,11,5000,1474,,,0,huff,7,,6,35.212357827560524,,0.3076,0.2948,
,JS00001.hea,11,5000,2320,,,0,huff,8,,6,29.270420767910093,,0.4768,0.464,
,JS00001.hea,11,5000,2951,,,0,huff,9,,8,23.160776454657682,,0.603,0.5902,
,JS00001.hea,11,5000,,,,3,huff,4,,3,,,-0.04160000000000008,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.04160000000000008)')
,JS00001.hea,11,5000,243,,,4,huff,5,,4,47.0059468432665,,0.06140000000000001,0.0486,
,JS00001.hea,11,5000,837,,,5,huff,6,,5,41.364865374415345,,0.18020000000000003,0.1674,
,JS00001.hea,11,5000,1474,,,6,huff,7,,6,35.212357827560524,,0.3076,0.2948,
,JS00001.hea,11,5000,2252,,,7,huff,8,,7,29.38843311669033,,0.46319999999999995,0.4504,
,JS00001.hea,11,5000,3330,,,8,huff,10,,8,17.131544169585386,,0.6788000000000001,0.666,
,JS00001.hea,11,5000,2951,,,8,huff,9,,8,23.160776454657682,,0.603,0.5902,
,JS00001.hea,11,5000,,,2,,rle,4,2,,,,-0.2592000000000001,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.2592000000000001)')
,JS00001.hea,11,5000,,,3,,rle,5,3,,,,-0.09580000000000011,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.09580000000000011)')
,JS00001.hea,11,5000,332,,4,,rle,6,4,,40.93165480468245,,0.07920000000000005,0.0664,
,JS00001.hea,11,5000,1037,,5,,rle,7,5,,35.114720958674894,,0.22019999999999995,0.2074,
,JS00001.hea,11,5000,2424,,6,,rle,8,6,,29.041927632018304,,0.49760000000000004,0.4848,
,JS00001.hea,11,5000,3378,,7,,rle,9,7,,23.109237738826355,,0.6884,0.6756,
,JS00001.hea,11,5000,3876,,8,,rle,10,8,,17.25931279270743,,0.788,0.7752,
,JS00001.hea,11,5000,,neighchan,,,null,,,,,32.01575208114261,0.0,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving 0.0)')
,JS00001.hea,12,5000,4236,,,,rle,10,8,,17.056310173217145,,0.86,0.8472,
,JS00001.hea,12,5000,,,,,rle,4,2,,,,-0.25839999999999996,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.25839999999999996)')
,JS00001.hea,12,5000,,,,,rle,5,3,,,,-0.10719999999999996,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.10719999999999996)')
,JS00001.hea,12,5000,444,,,,rle,6,4,,41.08940622055002,,0.10160000000000002,0.0888,
,JS00001.hea,12,5000,1147,,,,rle,7,5,,35.0961288333706,,0.24219999999999997,0.2294,
,JS00001.hea,12,5000,2442,,,,rle,8,6,,29.082280487434463,,0.5012,0.4884,
,JS00001.hea,12,5000,3455,,,,rle,9,7,,23.129779889000904,,0.7038,0.691,
,JS00001.hea,12,5000,3615,,,0,huff,10,,8,17.275328587695444,,0.7358,0.723,
,JS00001.hea,12,5000,,,,0,huff,4,,4,,,-0.01419999999999999,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.01419999999999999)')
,JS00001.hea,12,5000,183,,,0,huff,5,,4,46.99202713641745,,0.0494,0.0366,
,JS00001.hea,12,5000,1003,,,0,huff,6,,5,41.25379558082823,,0.21340000000000003,0.2006,
,JS00001.hea,12,5000,1613,,,0,huff,7,,5,35.224501080422314,,0.33540000000000003,0.3226,
,JS00001.hea,12,5000,2374,,,0,huff,8,,7,29.202164336558045,,0.48760000000000003,0.4748,
,JS00001.hea,12,5000,3070,,,0,huff,9,,8,23.241009845686087,,0.6268,0.614,
,JS00001.hea,12,5000,,,,3,huff,4,,3,,,-0.038799999999999946,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.038799999999999946)')
,JS00001.hea,12,5000,183,,,4,huff,5,,4,46.99202713641745,,0.0494,0.0366,
,JS00001.hea,12,5000,1003,,,5,huff,6,,5,41.25379558082823,,0.21340000000000003,0.2006,
,JS00001.hea,12,5000,1522,,,6,huff,7,,6,35.17956770494958,,0.31720000000000004,0.3044,
,JS00001.hea,12,5000,2374,,,7,huff,8,,7,29.202164336558045,,0.48760000000000003,0.4748,
,JS00001.hea,12,5000,3615,,,8,huff,10,,8,17.275328587695444,,0.7358,0.723,
,JS00001.hea,12,5000,3070,,,8,huff,9,,8,23.241009845686087,,0.6268,0.614,
,JS00001.hea,12,5000,,,2,,rle,4,2,,,,-0.25839999999999996,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.25839999999999996)')
,JS00001.hea,12,5000,,,3,,rle,5,3,,,,-0.10719999999999996,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.10719999999999996)')
,JS00001.hea,12,5000,444,,4,,rle,6,4,,41.08940622055002,,0.10160000000000002,0.0888,
,JS00001.hea,12,5000,1147,,5,,rle,7,5,,35.0961288333706,,0.24219999999999997,0.2294,
,JS00001.hea,12,5000,2442,,6,,rle,8,6,,29.082280487434463,,0.5012,0.4884,
,JS00001.hea,12,5000,3455,,7,,rle,9,7,,23.129779889000904,,0.7038,0.691,
,JS00001.hea,12,5000,4236,,8,,rle,10,8,,17.056310173217145,,0.86,0.8472,
,JS00001.hea,12,5000,,neighchan,,,null,,,,,16.94126023693681,0.0,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving 0.0)')
,JS00001.hea,2,5000,2520,,,,rle,10,6,,17.352674441169448,,0.5167999999999999,0.504,
,JS00001.hea,2,5000,,,,,rle,4,2,,,,-0.2784,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.2784)')
,JS00001.hea,2,5000,,,,,rle,5,3,,,,-0.20740000000000003,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.20740000000000003)')
,JS00001.hea,2,5000,,,,,rle,6,3,,,,-0.0411999999999999,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.0411999999999999)')
,JS00001.hea,2,5000,1162,,,,rle,7,5,,35.3211125325463,,0.24519999999999997,0.2324,
,JS00001.hea,2,5000,2142,,,,rle,8,5,,29.240535986184856,,0.44120000000000004,0.4284,
,JS00001.hea,2,5000,2520,,,,rle,9,6,,23.373274354449073,,0.5167999999999999,0.504,
,JS00001.hea,2,5000,2394,,,0,huff,10,,5,17.190585512258394,,0.49160000000000004,0.4788,
,JS00001.hea,2,5000,,,,0,huff,4,,4,,,-0.032200000000000006,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving -0.032200000000000006)')
,JS00001.hea,2,5000,,,,0,huff,5,,4,,,0.007000000000000006,,CantEmbed('Insufficient container length or range for this watermark (insufficient compression saving 0.007000000000000006)')
,JS00001.hea,2,5000,543,,,0,huff,6,,4,41.23295774084015,,0.12139999999999995,0.1086,
,JS00001.hea,2,5000,1483,,,0,huff,7,,5,35.097815741459016,,0.3094,0.2966,
,JS00001.hea,2,5000,2161,,,0,huff,8,,5,29.217820873991748,,0.44499999999999995,0.4322,
,JS00001.hea,2,5000,2377,,,0,huff,9,,5,23.197220960712123,,0.48819999999999997,0.4754,
